 WRA,,, WRB,,,RU_1,,,RU_2,,,RU_3,,,RU_4,,, ELB_M,,, ELB_L,,,H_1,,,H_2,,,H_3,,,H_4,,,H_5,,,H_6,,,SA_1,,,SA_2,,,SA_3,,,CS_1,,,CS_2,,,CS_3,,,CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
263.645,316.077,36.8825,321.798,327.391,18.5136,292.676,509.335,93.6022,286.749,447.007,73.3271,322.963,448.137,34.7551,317.996,517.597,51.787,239.652,585.784,27.3492,306.325,576.738,67.224,269.468,582.892,157.025,248.653,599.786,203.66,236.165,612.746,246.16,257.535,645.054,236.41,268.137,635.52,194.593,282.102,621.485,147.265,170.236,743.262,341.19,139.403,641.922,322.3,157.466,667.793,358.327,1.23182,616.806,285.991,2.03106,626.379,315.221,45.5728,625.953,313.266,46.3763,614.305,284.749
263.645,316.076,36.8825,321.799,327.391,18.5153,292.679,509.332,93.608,286.873,446.99,73.2861,322.965,448.137,34.7592,318.007,517.594,51.7937,239.63,585.783,27.3738,306.329,576.736,67.2303,269.434,582.865,157.024,248.654,599.785,203.668,236.16,612.746,246.168,257.538,645.053,236.417,268.117,635.499,194.56,282.123,621.486,147.265,170.243,743.271,341.193,139.406,641.926,322.309,157.468,667.8,358.336,1.23258,616.809,285.999,2.03411,626.387,315.227,45.5724,625.958,313.27,46.3818,614.304,284.762
263.645,316.076,36.8823,321.799,327.39,18.5158,292.692,509.315,93.619,286.873,446.989,73.2867,322.888,448.074,34.6667,318.01,517.591,51.8003,239.635,585.776,27.3778,306.333,576.734,67.24,269.438,582.867,157.03,248.649,599.808,203.703,236.17,612.746,246.177,257.548,645.053,236.431,268.128,635.496,194.57,282.123,621.485,147.26,170.267,743.296,341.213,139.411,641.931,322.319,157.474,667.808,358.345,1.23428,616.809,286.007,2.03385,626.392,315.234,45.5774,625.97,313.279,46.3845,614.305,284.773
263.645,316.075,36.8821,321.8,327.388,18.5188,292.696,509.313,93.6255,286.874,446.99,73.2891,322.967,448.127,34.7668,318.014,517.59,51.8055,239.662,585.794,27.3726,306.34,576.732,67.249,269.445,582.868,157.037,248.651,599.806,203.711,236.174,612.744,246.185,257.549,645.049,236.436,268.131,635.496,194.576,282.147,621.486,147.295,170.273,743.303,341.219,139.415,641.935,322.332,157.475,667.816,358.352,1.24345,616.802,286.025,2.03958,626.396,315.247,45.5769,625.973,313.291,46.3876,614.306,284.782
263.646,316.077,36.8837,321.801,327.389,18.5189,292.699,509.311,93.6333,286.878,446.989,73.2924,322.891,448.072,34.6751,318.018,517.588,51.8117,239.642,585.784,27.3949,306.344,576.732,67.2574,269.449,582.868,157.043,248.657,599.807,203.721,236.173,612.759,246.189,257.554,645.051,236.444,268.134,635.496,194.585,282.162,621.49,147.315,170.28,743.312,341.227,139.42,641.939,322.341,157.478,667.822,358.362,1.24469,616.804,286.035,2.04279,626.4,315.253,45.5866,625.977,313.303,46.3851,614.289,284.803
263.646,316.075,36.8834,321.801,327.388,18.5206,292.706,509.308,93.6393,286.88,446.99,73.295,322.889,448.08,34.664,318.018,517.576,51.8449,239.647,585.779,27.4013,306.351,576.729,67.2682,269.454,582.87,157.048,248.66,599.807,203.726,236.179,612.76,246.198,257.558,645.052,236.451,268.175,635.523,194.654,282.145,621.491,147.287,170.286,743.319,341.23,139.435,641.95,322.384,157.482,667.829,358.373,1.24447,616.804,286.042,2.0433,626.402,315.267,45.5838,625.984,313.317,46.3844,614.285,284.811
263.647,316.075,36.8837,321.801,327.388,18.5212,292.708,509.303,93.6444,286.882,446.99,73.2976,322.891,448.08,34.6676,318.023,517.575,51.8512,239.677,585.789,27.3871,306.356,576.727,67.2767,269.454,582.866,157.047,248.664,599.806,203.732,236.184,612.761,246.206,257.575,645.054,236.468,268.181,635.512,194.651,282.17,621.493,147.32,170.293,743.327,341.238,139.427,641.946,322.362,157.485,667.835,358.379,1.25111,616.802,286.054,2.04431,626.405,315.273,45.5794,625.979,313.325,46.392,614.297,284.836
263.646,316.075,36.8842,321.804,327.386,18.5238,292.713,509.302,93.6517,286.885,446.996,73.3045,322.997,448.141,34.7882,318.027,517.572,51.8551,239.662,585.77,27.4065,306.363,576.725,67.2881,269.458,582.871,157.058,248.671,599.796,203.748,236.19,612.762,246.216,257.589,645.048,236.488,268.185,635.511,194.657,282.201,621.517,147.356,170.298,743.334,341.243,139.439,641.955,322.396,157.488,667.84,358.389,1.2506,616.803,286.067,2.06978,626.43,315.275,45.586,625.986,313.334,46.3924,614.292,284.846
263.648,316.077,36.8847,321.804,327.386,18.5244,292.719,509.299,93.6591,286.894,446.991,73.3072,323.003,448.141,34.794,318.03,517.571,51.8598,239.673,585.786,27.4312,306.375,576.725,67.2982,269.482,582.87,157.001,248.676,599.796,203.757,236.205,612.77,246.229,257.593,645.05,236.495,268.187,635.521,194.67,282.203,621.519,147.361,170.305,743.339,341.249,139.446,641.957,322.41,157.494,667.846,358.398,1.25008,616.801,286.078,2.07306,626.431,315.281,45.583,625.979,313.346,46.4165,614.296,284.872
